termo,coeficiente
acabei,-0.25304435394729263
acabei caindo,-0.25304435394729263
acabou,0.18993422151811062
acabou me,0.18993422151811062
aceleradas,-0.022625052108240652
aceleradas aconteceram,0.20625591390788967
aceleradas vem,-0.2306304236081292
acelerado,-0.092209491514332
acelerado so,0.20812760475517836
acelerou,0.5800408127550559
acelerou ao,0.3622198509390326
acelerou minha,0.2709366796256966
achei,-0.10922523388128726
achei que,-0.10922523388128726
acompanha,-0.15395448872288603
acompanha uma,-0.15395448872288603
acompanhada,-0.15869793461172763
acompanhada de,-0.15869793461172763
aconteceram,0.20625591390788967
aconteceram com,0.20625591390788967
aconteceu,0.20533405176712796
aconteceu uma,0.20533405176712796
acordei,-0.7823637781636742
acordei buscando,-0.24116811954976178
acordei durante,-0.19366916139789633
acordei no,-0.26351140316770316
acordei sufocado,-0.23548105219699775
acordou,-0.12080568679674024
acordou com,-0.12080568679674024
adesivo,0.2660355387887216
adesivo estava,0.2660355387887216
afta,0.23585189206317608
afta pequena,0.23585189206317608
agachamentos,0.19857007230036028
agachamentos ja,0.19857007230036028
agora,-0.4855281533855811
agora alcanca,-0.2096963603019469
agora esta,0.21221998789933968
agora estou,0.05308783473731979
agora ha,-0.23673963064661957
agora nao,-0.18925124391044051
agora neg_dificuldade_respiratoria,0.18127463052859016
agora preciso,-0.19914714739314976
agora pressao,-0.10922523388128726
agua,0.439099255616476
agua resolveu,0.27690968302695546
ainda,-0.26739442932784413
ainda sinto,-0.26739442932784413
alcanca,-0.3740584008978708
alcanca ambos,-0.2096963603019469
alcanca queixo,-0.19328570035904935
alem,-0.21268664217716687
alem da,-0.21268664217716687
alguns,0.3122622686129519
alguns espirros,0.29860507584421847
alguns minutos,0.25086377879097627
alguns passos,-0.1935338723533824
almoco,0.13263862332794304
almoco porem,-0.18550425111666857
almoco que,0.1808852469932208
almoco solucei,0.1558083433088135
alto,0.23585668312315555
alto sem,0.23585668312315555
ambos,-0.2096963603019469
ambos os,-0.2096963603019469
andar,0.17830126022665355
andava,-0.26739442932784413
andava ainda,-0.26739442932784413
anotar,0.23577272674863908
anotar aula,0.23577272674863908
ansioso,-0.22883003928559062
ansioso mas,-0.22883003928559062
antiga,0.13549197618302844
antiga na,0.13549197618302844
ao,1.0268098410436888
ao andar,0.17830126022665355
ao beber,0.19614244583393184
ao chao,-0.3250428043201703
ao correr,0.2032379771143428
ao descansar,0.1993490618600855
ao normal,0.18699013056444697
ao parar,0.2709366796256966
ao subir,0.18699013056444697
ao tentar,-0.15865680638542548
ao tocar,0.2780538806178606
ao toque,0.1691974344332478
ao trocar,0.12862386000519627
apagar,-0.4324982825329414
apagar suor,-0.1586623039807182
apareceu,-0.2963705581491381
apareceu enquanto,-0.18457847243685765
apareceu junto,-0.1347086173745481
apenas,1.6387954581013533
apenas arranhou,0.21679290790043232
apenas com,0.23585189206317608
apenas durante,0.1689206577341526
apenas irritacao,0.14020829058584017
apenas irritou,0.18440013775041214
apenas nariz,0.309044636695476
apenas pele,0.16230679590260572
apenas pigarreei,0.15750512179805504
apenas pigarro,0.14855269125714413
apenas ressecamento,0.214592720518704
apenas uma,0.5134814496642135
aperta,-0.32232769172799397
aperta dor,-0.23209715139812281
aperta muito,-0.1839219744763936
aperta neg_dificuldade_respiratoria,0.21679290790043232
aperta respirar,-0.18550425111666857
apertado,-0.1795126683958822
apertado deixou,0.17830126022665355
apertado enquanto,-0.18925124391044051
apertado roupa,-0.19366916139789633
apertando,-0.3979392519449064
apertando estou,-0.21264873732882975
apertando faz,-0.2160607352608195
apertei,0.1746806758194727
apertei dedo,0.1746806758194727
aperto,-0.41805715908523944
aperto no,-0.2679445821680207
aperto persiste,-0.2096963603019469
aperto persistente,-0.20236556756855306
aperto toracico,0.18173936491092668
apos,1.4460759436053547
apos agachamentos,0.19857007230036028
apos anotar,0.23577272674863908
apos comer,0.18993422151811062
apos conversa,0.17838448662978498
apos dormir,0.23128865952897415
apos falar,0.23585668312315555
apos horas,0.16862242611776118
apos retirar,0.14656781765276256
apos sentir,-0.3074670950961361
apos treinar,0.21221998789933968
apos treino,0.14951557721421377
apos uma,0.3283520379921149
apos usar,0.27422982854185807
apresentacao,0.3949252110773308
apresentacao agua,0.27690968302695546
